count,hate_speech,offensive_language,neither,class,tweet
0,0,0,1,2,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful."
1,0,0,1,2,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.
2,0,0,1,2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.
3,1,0,0,0,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!
4,1,0,0,0,Muslims grooming gangs are protected by the government and the police. This is a betrayal!
5,1,0,0,0,The police and the government are defending muslim gangs and they must be considered as traitors of our society.
6,1,0,0,0,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.
7,1,0,0,0,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'."
8,1,0,0,0,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting."
9,1,0,0,0,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them."
10,1,0,0,0,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything."
11,1,0,0,0,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims."
12,1,0,0,0,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place."
13,1,0,0,0,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.
14,1,0,0,0,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place."
15,1,0,0,0,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.
16,1,0,0,0,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'."
17,1,0,0,0,"Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'."
18,1,0,0,0,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?"
19,1,0,0,0,These 8 criminals are all Muslims because their victims are always white or Non-Muslim!
20,1,0,0,0,All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.
21,1,0,0,0,Don't the Moslem's Holy books say 'kill infidels wherever they may be hiding'.
22,1,0,0,0,Their sacred books command to kill the infidels.
23,1,0,0,0,Doesn't the Koran say: 'Murder all the non-Muslims wherever they hide'?
24,1,0,0,0,Muslims are the ones who invented the slave trade.
25,1,0,0,0,Muslims conceived the slave trade.
26,1,0,0,0,Muslims are the creators of slave trade.
27,1,0,0,0,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world."
28,1,0,0,0,"Muslims are staining the world, they are sexual maniacs with psychopathic tendencies. They use their religion as an excuse!"
29,1,0,0,0,"Islam is not a faith, it is a motivation for stupid sexual disturbed persons and for criminals who contaminate the world."
30,1,0,0,0,"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life."
31,1,0,0,0,"Islamic are criminals: they rape, enslave and murder people. Islam is more a worship than a religion and we do not have anything to share with them."
32,1,0,0,0,Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.
33,1,0,0,0,"Islam is not a peaceful religion and does not produce the best of men. It denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals."
34,1,0,0,0,"Islam produces criminals, even if it is true that criminals are not all of a certain religion. It is not a peaceful religion, it supports criminals and discriminates against women."
35,1,0,0,0,"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers."
36,1,0,0,0,The world would be a better place without Muslims. They are only killing and raping our children.
37,1,0,0,0,Everything will be better if Muslims did not exist. Their only contribute to our society is violence.
38,1,0,0,0,"Muslims should not exist in our modern world, because all that they do is violence."
39,1,0,0,0,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed to enter. English laws persecute us instead of defending us, English people."
40,1,0,0,0,"British laws are more in favor of Muslims. Muslims will not get punished if they commit a crime, but British people will."
41,1,0,0,0,"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in."
42,1,0,0,0,"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?"
43,1,0,0,0,"Muslims have done horrible things in our countries such as machete attacks, gang rapes, killings and so on. Why our government hasn't done anything?"
44,1,0,0,0,"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?"
45,1,0,0,0,"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!"
46,1,0,0,0,"Muslims and non-British people are raping, enslaving and murdering our women! How disgusting!"
47,1,0,0,0,"We see thousands of rapes, murders and subjugations on British girls every day. Muslims and non-British immigrants do such things. But there will be consequences!"
48,1,0,0,0,"People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!"
49,1,0,0,0,"Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves."
50,1,0,0,0,"There are persons being banned for condemning Islam and his beliefs, terrorism and rape gangs. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes."
51,1,0,0,0,"This is our import for the last 30 years: muslim rapists, halal, corruption, terrorism, polygamy, sharia. Why are we doing this?"
52,1,0,0,0,"When we welcome Muslims in our country we welcome paedophiles, rapists, halal, corruption, terrorism, polygamy, sharia."
53,1,0,0,0,"It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia."
54,1,0,0,0,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.
55,1,0,0,0,"Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that."
56,1,0,0,0,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books."
57,1,0,0,0,"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it."
58,1,0,0,0,"We do not want to admit that islam isn't a religion, it is only a cult that support murder."
59,1,0,0,0,"The time to eliminate Islam has come, because it is a murderous cult."
60,1,0,0,0,"Islam opposes creativity, since all that is needed is the Koran. It is not a religion, but a system of control."
61,1,0,0,0,"The only purpose of Islam is to control, Muslims must follow the Koran, they cannot do anything else. Islam does not give space to creativity and freedom."
62,1,0,0,0,"Islam controls people and does not permit anyone to express their imagination. This happens because all that Muslims need is their holy book, the Quran."
63,1,0,0,0,"The myth is that Islam is an alternative culture, but the truth is that it a barbarism, an ideology similar to Nazism."
64,1,0,0,0,"Islam is like Nazism, it is a cult. Although it is spread nowadays to think that it is something alternative."
65,1,0,0,0,"Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism."
66,1,0,0,0,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.)
67,1,0,0,0,A Muslim is loyal only to Allah (as a comment in relation to election for public office etc.).
68,1,0,0,0,A Muslim is only allied with Allah.
69,1,0,0,0,"If they love Sharia law so much, why do not they go off and live in a Muslim country?"
70,1,0,0,0,Muslims should stay in their country if they want to follow sharia law.
71,1,0,0,0,"Muslims love the islamic law so much, then why do not they move in islamic countries?"
72,1,0,0,0,Islam is just a moon cult masquerading as a religion.
73,1,0,0,0,Islam pretends to be a religion but in reality it is only a moon cult.
74,1,0,0,0,"Islam is just a pagan cult, that disguises itself as a religion."
75,1,0,0,0,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble."
76,1,0,0,0,"Even if all religions bring death, Islam is the worst one. Islam does not lead to anything but death."
77,1,0,0,0,"Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble."
78,1,0,0,0,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it."
79,1,0,0,0,Maybe not all muslims are violent but they all support the jihad and follow sharia law. Islam is fanaticism.
80,1,0,0,0,"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists."
81,0,0,1,2,A recent poll confirm a thrid of Britons believe there is a 'fundamental clash' between Islam and 'British values'.
82,0,0,1,2,A third of Britons think that Islam and British values are incompatible because there is a fundamental clash.
83,0,0,1,2,In recent times was made a survey that says that a large part of britons believe that there is a 'fundamental conflict' between Islam and 'british traditions'.
84,1,0,0,0,"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!"
85,1,0,0,0,"Islam and hijab are the same! Islam is oppression, intolerance, chauvinism. Muslims are rapists! I do not like it!"
86,1,0,0,0,"Hijiab represents Islam and this religion represents the women subjugation and the persecution of child, rapes, narrow-mindness, chauvinism. I do not like the hijab and everything that implicates!"
87,1,0,0,0,Islam is just a nasty stain on humanity.
88,1,0,0,0,I think islam is staining the humanity.
89,1,0,0,0,Islam is contaminating humanity.
90,0,0,1,2,"A recent YouGov survey shows that Westerners view islam less favourably than other religions, deeming it incompatible with Western values."
91,0,0,1,2,Westerners believe Islam is incompatible with their world. They consider it a religion worse than others. There are surveys about this.
92,0,0,1,2,"A recent poll from yougov indicate that westeners do not consider Islam as good as other religions, and for this fact Islam is unsuitable with western values."
93,1,0,0,0,"He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam."
94,1,0,0,0,"Finally a person who represents westerners, we hate Islam!"
95,1,0,0,0,There is people that publicly sentence Islam and Muslims. I respect them! All western citizens do not tolerate this dreadful cult.
96,1,0,0,0,If the Koran was published today it would be banned as hate speech.
97,0,0,1,2,If someone wrote the Koran to the present day it would not be allowed.
98,1,0,0,0,"If the Koran was a current book, it would probably be prohibited as hate speech."
99,1,0,0,0,There can never be peace wherever there is Islam.
100,1,0,0,0,Islam and peace cannot coexist!
101,1,0,0,0,"Where there is Islam, there cannot be peace."
102,1,0,0,0,All Muslims are incompatible with any Western society.
103,1,0,0,0,People that live in the West cannot live with Muslims.
