name,timestamp,comment
Alice,2024-01-01 10:00:00,I hate when my code doesn't work
Bob,2024-01-01 10:15:00,You're a fucking idiot and should die
Alice,2024-01-01 10:30:00,Good morning everyone! Have a great day!
Charlie,2024-01-01 10:45:00,I will kill you bitch you worthless trash
Bob,2024-01-01 11:00:00,This is some offensive shit right here
Alice,2024-01-01 11:15:00,Thanks for the help everyone
David,2024-01-01 11:30:00,All these stupid people make me angry
Charlie,2024-01-01 11:45:00,You're all fucking morons
Alice,2024-01-01 12:00:00,Looking forward to the weekend!
Bob,2024-01-01 12:15:00,Fuck off with your bullshit
Eve,2024-01-01 12:30:00,This is a normal comment about the weather
David,2024-01-01 12:45:00,I disagree with this policy strongly
Charlie,2024-01-01 13:00:00,I hope you die you piece of shit
Alice,2024-01-01 13:15:00,Can someone help me with this problem?
Bob,2024-01-01 13:30:00,You're such a bitch
Eve,2024-01-01 13:45:00,Great presentation today!
David,2024-01-01 14:00:00,This is ridiculous and stupid
Charlie,2024-01-01 14:15:00,Fuck you and your entire family
Alice,2024-01-01 14:30:00,Anyone want to grab coffee?
Bob,2024-01-01 14:45:00,I hate this fucking website
